,alpha,L1_wt,alpha_binom,avg_mse,overdisp
0,0.01,0.1,0.1,55.64768186907985,2.2391678951326934
1,0.01,0.5,0.1,55.25953953994971,2.2383893316884023
2,0.01,0.9,0.1,55.37530700816656,2.262001021395286
3,0.01,1.0,0.1,55.02295875212339,2.2658402464898906
4,0.1,0.1,0.1,57.41176804203042,2.2796933374560644
5,0.1,0.5,0.1,59.47096518914206,2.437815443428374
6,0.1,0.9,0.1,59.73375041285036,2.5116626062854053
7,0.1,1.0,0.1,59.8742950380563,2.544940060759739
8,0.5,0.1,0.1,63.094746029691734,2.459994845718499
9,0.5,0.5,0.1,70.31755713499597,3.0254576063945877
10,0.5,0.9,0.1,77.26582495865429,4.868227706828572
11,0.5,1.0,0.1,77.40361713666202,4.868227706828572
12,1.0,0.1,0.1,66.94209554752743,2.6429833000847904
13,1.0,0.5,0.1,75.87428153761984,4.747759699667871
14,1.0,0.9,0.1,77.36717852255735,4.868227706828572
15,1.0,1.0,0.1,77.358850375159,4.868227706828572
16,0.01,0.1,0.5,57.24857754164934,0.9520145053099814
17,0.01,0.5,0.5,57.16023968249216,0.9667603300612909
18,0.01,0.9,0.5,57.27929555594892,0.9711385220965781
19,0.01,1.0,0.5,57.706255525179515,0.9758214031552632
20,0.1,0.1,0.5,60.316992932962044,0.9760298686741551
21,0.1,0.5,0.5,63.1775616130529,1.1598726419325758
22,0.1,0.9,0.5,64.97726790188504,1.171827624381563
23,0.1,1.0,0.5,65.50586257665213,1.1886421522010688
24,0.5,0.1,0.5,68.11090761819615,1.1580849385908
25,0.5,0.5,0.5,75.74143714533552,2.1298137518629945
26,0.5,0.9,0.5,77.02029071411516,2.1711017931904992
27,0.5,1.0,0.5,77.3131284430377,2.1711017931904992
28,1.0,0.1,0.5,72.6724178609978,1.2106566386377828
29,1.0,0.5,0.5,76.57686289327083,2.1298137518629945
30,1.0,0.9,0.5,77.54658123481396,2.192458792745346
31,1.0,1.0,0.5,77.52062847783873,2.192458792745346
32,0.01,0.1,1.0,58.002177032091346,0.6044256041458458
33,0.01,0.5,1.0,57.920992324076146,0.6120562410768264
34,0.01,0.9,1.0,58.48763698352652,0.6378095514675476
35,0.01,1.0,1.0,58.490878617580634,0.6386537422109616
36,0.1,0.1,1.0,63.091118508982404,0.6508580357101021
37,0.1,0.5,1.0,67.11343705333556,0.765110590616066
38,0.1,0.9,1.0,71.86783739319834,0.8109515403289671
39,0.1,1.0,1.0,72.54136757966081,0.9973207184762309
40,0.5,0.1,1.0,72.01502443559313,0.7652927446645531
41,0.5,0.5,1.0,76.15971446078753,1.3460588808499858
42,0.5,0.9,1.0,77.65348054519187,1.383251395542989
43,0.5,1.0,1.0,77.62860505260502,1.383251395542989
44,1.0,0.1,1.0,74.76077082418882,0.9952685660322057
45,1.0,0.5,1.0,77.61502812801163,1.383251395542989
46,1.0,0.9,1.0,77.4349117061283,1.383251395542989
47,1.0,1.0,1.0,77.39436010562702,1.383251395542989
48,0.01,0.1,2.0,59.31233420869522,0.37103640335835836
49,0.01,0.5,2.0,59.13896065897062,0.38431515036024894
50,0.01,0.9,2.0,59.222188316450186,0.4016871730748393
51,0.01,1.0,2.0,59.257245637972915,0.40173708268778574
52,0.1,0.1,2.0,65.80005914867377,0.4303555987214096
53,0.1,0.5,2.0,73.17090815726796,0.5952145869525545
54,0.1,0.9,2.0,75.53314434516581,0.8029983410586452
55,0.1,1.0,2.0,75.99901680954898,0.8029983410586452
56,0.5,0.1,2.0,74.58320566947444,0.593397470560191
57,0.5,0.5,2.0,77.67272769958748,0.8311385763796112
58,0.5,0.9,2.0,77.4967279241383,0.8311385763796112
59,0.5,1.0,2.0,77.45671740839381,0.8311385763796112
60,1.0,0.1,2.0,75.92700225864499,0.8104409848772489
61,1.0,0.5,2.0,77.43537979150197,0.8311385763796112
62,1.0,0.9,2.0,77.17499416996225,0.8311385763796112
63,1.0,1.0,2.0,77.12358533504849,0.8311385763796112
