sex_partners,first_sex,man_guardian,woman_guardian,marital_status
1,Inapplicable,With both parents,With both parents,Never married
0,Inapplicable,With both parents,With both parents,Never married
9,10-grade,With both parents,With both parents,Never married
8,11-grade,With both parents,With both parents,Married
7,9-grade,With both parents,With both parents,Divorced/annulled
4,Inapplicable,With both parents,With both parents,Never married
15,10-grade,With both parents,With both parents,Never married
13,11-grade,With both parents,With both parents,Never married
1,Not-school,With both parents,With both parents,Married
5,11-grade,With both parents,With both parents,Divorced/annulled
999,9-grade,With both parents,With both parents,Never married
4,Inapplicable,With both parents,With both parents,Married
0,Inapplicable,With both parents,With both parents,Never married
998,9-grade,With both parents,With both parents,Never married
7,10-grade,With both parents,With both parents,Married
1,10-grade,No father figure,Bio mother,Never married
9,7-grade,Stepfather,Bio mother,Divorced/annulled
0,Inapplicable,Bio father,Bio mother,Never married
0,Inapplicable,No father figure,Bio mother,Never married
0,3-college,With both parents,With both parents,Married
3,8-grade,With both parents,With both parents,Married
15,Inapplicable,With both parents,With both parents,Divorced/annulled
1,Inapplicable,With both parents,With both parents,Married
9,7-grade,With both parents,With both parents,Married
0,Inapplicable,Refused,Other mother figure,Never married
999,10-grade,With both parents,With both parents,Never married
6,10-grade,With both parents,With both parents,Married
2,10-grade,With both parents,With both parents,Married
3,Inapplicable,With both parents,With both parents,Never married
1,Inapplicable,With both parents,With both parents,Married
10,12-grade,With both parents,With both parents,Married
5,Inapplicable,With both parents,With both parents,Never married
2,10-grade,Bio father,Bio mother,Never married
3,Inapplicable,With both parents,With both parents,Married
7,8-grade,Other father figure,Other mother figure,Never married
11,6-grade-less,With both parents,With both parents,Separated
27,Inapplicable,With both parents,With both parents,Separated
0,Inapplicable,Refused,Refused,Never married
2,Inapplicable,With both parents,With both parents,Never married
30,11-grade,Bio father,Bio mother,Never married
4,10-grade,With both parents,With both parents,Never married
3,7-grade,With both parents,With both parents,Never married
1,Inapplicable,No father figure,Other mother figure,Never married
1,Inapplicable,With both parents,With both parents,Married
0,Inapplicable,Stepfather,Bio mother,Never married
4,Inapplicable,With both parents,With both parents,Never married
10,8-grade,With both parents,With both parents,Married
5,Inapplicable,No father figure,Bio mother,Married
6,12-grade,With both parents,With both parents,Married
0,Inapplicable,No father figure,Bio mother,Never married
4,10-grade,With both parents,With both parents,Never married
50,11-grade,With both parents,With both parents,Never married
13,8-grade,Bio father,Bio mother,Never married
0,Inapplicable,With both parents,With both parents,Never married
1,Inapplicable,With both parents,With both parents,Married
10,10-grade,With both parents,With both parents,Married
10,Inapplicable,Stepfather,Bio mother,Married
7,12-grade,With both parents,With both parents,Never married
4,11-grade,Other father figure,Bio mother,Never married
3,Refused,Other father figure,Bio mother,Never married
3,11-grade,With both parents,With both parents,Married
0,Inapplicable,Bio father,Bio mother,Never married
6,1-college,With both parents,With both parents,Never married
4,9-grade,Other father figure,Other mother figure,Never married
1,11-grade,With both parents,With both parents,Married
0,Inapplicable,Bio father,Bio mother,Never married
0,Inapplicable,With both parents,With both parents,Never married
2,10-grade,With both parents,With both parents,Married
5,Inapplicable,With both parents,With both parents,Married
0,Inapplicable,Refused,Other mother figure,Never married
3,Inapplicable,With both parents,With both parents,Divorced/annulled
0,Inapplicable,With both parents,With both parents,Never married
2,10-grade,With both parents,With both parents,Married
0,Inapplicable,With both parents,With both parents,Never married
8,8-grade,No father figure,Bio mother,Never married
1,Inapplicable,With both parents,With both parents,Married
0,Inapplicable,With both parents,With both parents,Refused
15,Inapplicable,With both parents,With both parents,Married
7,10-grade,Bio father,Bio mother,Married
998,11-grade,With both parents,With both parents,Married
6,12-grade,With both parents,With both parents,Married
0,Inapplicable,With both parents,With both parents,Never married
6,8-grade,Other father figure,Other mother figure,Never married
1,Inapplicable,With both parents,With both parents,Married
4,Inapplicable,With both parents,With both parents,Married
2,8-grade,Other father figure,Other mother figure,Never married
0,Inapplicable,With both parents,With both parents,Never married
25,10-grade,With both parents,With both parents,Divorced/annulled
998,10-grade,Bio father,Other mother figure,Married
18,10-grade,With both parents,With both parents,Never married
7,11-grade,With both parents,With both parents,Never married
0,Inapplicable,Bio father,Bio mother,Never married
7,10-grade,Stepfather,Bio mother,Married
6,10-grade,With both parents,With both parents,Never married
6,Inapplicable,Other father figure,Other mother figure,Married
0,Inapplicable,With both parents,With both parents,Never married
1,Inapplicable,With both parents,With both parents,Married
0,Inapplicable,With both parents,With both parents,Never married
0,Inapplicable,With both parents,With both parents,Never married
1,Inapplicable,With both parents,With both parents,Married
2,Inapplicable,With both parents,With both parents,Divorced/annulled
30,6-grade-less,Other father figure,Bio mother,Never married
8,8-grade,With both parents,With both parents,Married
9,10-grade,Other father figure,Bio mother,Married
3,Inapplicable,With both parents,With both parents,Never married
5,Inapplicable,No father figure,Bio mother,Never married
6,Inapplicable,Other father figure,Bio mother,Divorced/annulled
0,Not-school,With both parents,With both parents,Never married
1,Inapplicable,With both parents,With both parents,Married
5,10-grade,Stepfather,Bio mother,Never married
3,9-grade,With both parents,With both parents,Married
7,Inapplicable,With both parents,With both parents,Married
22,Inapplicable,With both parents,With both parents,Never married
0,Inapplicable,Stepfather,Bio mother,Never married
4,Inapplicable,With both parents,With both parents,Never married
8,9-grade,With both parents,With both parents,Never married
5,9-grade,With both parents,With both parents,Married
30,10-grade,With both parents,With both parents,Divorced/annulled
12,Inapplicable,With both parents,With both parents,Divorced/annulled
20,8-grade,Stepfather,Bio mother,Married
0,Inapplicable,With both parents,With both parents,Never married
3,10-grade,Bio father,Bio mother,Never married
0,Inapplicable,With both parents,With both parents,Never married
3,Inapplicable,Other father figure,Other mother figure,Never married
10,11-grade,With both parents,With both parents,Married
2,11-grade,With both parents,With both parents,Married
3,8-grade,With both parents,With both parents,Never married
15,Inapplicable,With both parents,With both parents,Married
23,8-grade,With both parents,With both parents,Never married
998,11-grade,Bio father,Bio mother,Married
30,Inapplicable,Stepfather,Bio mother,Never married
25,9-grade,Other father figure,Other mother figure,Divorced/annulled
1,Inapplicable,Bio father,Bio mother,Never married
3,11-grade,With both parents,With both parents,Married
1,Inapplicable,With both parents,With both parents,Married
50,10-grade,Other father figure,Bio mother,Never married
999,11-grade,With both parents,With both parents,Divorced/annulled
3,Inapplicable,With both parents,With both parents,Never married
0,Inapplicable,Bio father,Bio mother,Never married
5,12-grade,With both parents,With both parents,Never married
4,Inapplicable,With both parents,With both parents,Married
0,Inapplicable,Bio father,Bio mother,Never married
4,11-grade,With both parents,With both parents,Married
50,Not-school,With both parents,With both parents,Never married
10,11-grade,With both parents,With both parents,Divorced/annulled
2,11-grade,With both parents,With both parents,Separated
10,10-grade,With both parents,With both parents,Never married
20,6-grade-less,No father figure,Other mother figure,Married
3,Inapplicable,With both parents,With both parents,Never married
5,Inapplicable,With both parents,With both parents,Married
1,Inapplicable,With both parents,With both parents,Married
7,12-grade,With both parents,With both parents,Never married
1,Inapplicable,With both parents,With both parents,Never married
3,9-grade,With both parents,With both parents,Never married
14,8-grade,With both parents,With both parents,Never married
6,9-grade,With both parents,With both parents,Never married
1,Inapplicable,With both parents,With both parents,Married
1,Inapplicable,No father figure,Other mother figure,Married
5,11-grade,With both parents,With both parents,Never married
5,11-grade,With both parents,With both parents,Never married
0,Inapplicable,Stepfather,Bio mother,Married
3,10-grade,With both parents,With both parents,Never married
1,Not-school,With both parents,With both parents,Married
11,9-grade,With both parents,With both parents,Never married
15,8-grade,With both parents,With both parents,Never married
1,Inapplicable,With both parents,With both parents,Never married
0,Inapplicable,Other father figure,Bio mother,Never married
30,Inapplicable,With both parents,With both parents,Never married
998,Inapplicable,With both parents,With both parents,Divorced/annulled
10,9-grade,With both parents,With both parents,Never married
2,1-college,With both parents,With both parents,Divorced/annulled
5,10-grade,With both parents,With both parents,Never married
0,Inapplicable,With both parents,With both parents,Never married
44,Inapplicable,With both parents,With both parents,Never married
0,Inapplicable,With both parents,With both parents,Never married
1,Inapplicable,With both parents,With both parents,Married
3,10-grade,No father figure,Other mother figure,Married
5,12-grade,With both parents,With both parents,Married
4,10-grade,With both parents,With both parents,Married
25,Inapplicable,Bio father,Bio mother,Divorced/annulled
10,12-grade,With both parents,With both parents,Separated
1,Inapplicable,Other father figure,Bio mother,Never married
4,12-grade,Bio father,Bio mother,Never married
1,Inapplicable,With both parents,With both parents,Married
3,12-grade,Other father figure,Bio mother,Married
2,11-grade,With both parents,With both parents,Never married
26,7-grade,Other father figure,Other mother figure,Married
1,11-grade,With both parents,With both parents,Never married
6,9-grade,With both parents,With both parents,Never married
10,10-grade,Stepfather,Bio mother,Never married
4,Inapplicable,With both parents,With both parents,Never married
8,Inapplicable,Bio father,Bio mother,Never married
20,11-grade,With both parents,With both parents,Never married
3,10-grade,With both parents,With both parents,Never married
6,Inapplicable,Stepfather,Bio mother,Married
1,Inapplicable,With both parents,With both parents,Never married
0,Inapplicable,With both parents,With both parents,Married
1,Inapplicable,With both parents,With both parents,Married
1,Inapplicable,With both parents,With both parents,Married
0,Not-school,No father figure,Bio mother,Never married
4,Inapplicable,Other father figure,Other mother figure,Never married
0,Inapplicable,With both parents,With both parents,Never married
0,Inapplicable,Other father figure,Bio mother,Never married
999,10-grade,With both parents,With both parents,Divorced/annulled
4,11-grade,Stepfather,Bio mother,Married
1,Inapplicable,With both parents,With both parents,Married
9,9-grade,No father figure,Other mother figure,Separated
5,Inapplicable,Other father figure,Bio mother,Refused
8,Inapplicable,No father figure,Bio mother,Divorced/annulled
7,Inapplicable,With both parents,With both parents,Divorced/annulled
4,Inapplicable,No father figure,Bio mother,Never married
0,Not-school,With both parents,With both parents,Married
5,Inapplicable,With both parents,With both parents,Never married
1,Inapplicable,With both parents,With both parents,Married
2,12-grade,With both parents,With both parents,Never married
6,1-college,With both parents,With both parents,Married
20,Inapplicable,With both parents,With both parents,Married
11,Inapplicable,With both parents,With both parents,Never married
0,Inapplicable,With both parents,With both parents,Never married
998,Inapplicable,With both parents,With both parents,Never married
15,12-grade,Bio father,Bio mother,Married
6,8-grade,No father figure,Bio mother,Never married
11,9-grade,With both parents,With both parents,Never married
14,Inapplicable,With both parents,With both parents,Never married
3,Inapplicable,With both parents,With both parents,Divorced/annulled
6,8-grade,Bio father,Other mother figure,Never married
0,Inapplicable,With both parents,With both parents,Never married
2,Inapplicable,With both parents,With both parents,Married
5,Inapplicable,With both parents,With both parents,Married
998,10-grade,With both parents,With both parents,Married
2,Inapplicable,With both parents,With both parents,Married
2,7-grade,With both parents,With both parents,Never married
0,Inapplicable,Bio father,Bio mother,Never married
3,Inapplicable,With both parents,With both parents,Never married
998,Inapplicable,With both parents,With both parents,Married
998,Inapplicable,No father figure,Bio mother,Married
6,Inapplicable,With both parents,With both parents,Never married
3,11-grade,With both parents,With both parents,Divorced/annulled
25,10-grade,Stepfather,Bio mother,Never married
7,Inapplicable,Bio father,Bio mother,Married
0,Not-school,Other father figure,Other mother figure,Never married
7,Not-school,Stepfather,Bio mother,Never married
0,Inapplicable,With both parents,With both parents,Never married
1,Inapplicable,With both parents,With both parents,Married
50,8-grade,Bio father,Bio mother,Divorced/annulled
1,Inapplicable,With both parents,With both parents,Married
5,Inapplicable,Bio father,Bio mother,Married
1,Inapplicable,With both parents,With both parents,Married
2,11-grade,With both parents,With both parents,Never married
1,Inapplicable,With both parents,With both parents,Married
6,10-grade,With both parents,With both parents,Married
0,Inapplicable,With both parents,With both parents,Never married
0,Inapplicable,With both parents,With both parents,Never married
4,Inapplicable,With both parents,With both parents,Married
3,1-college,Bio father,Bio mother,Never married
17,Inapplicable,Bio father,Bio mother,Divorced/annulled
3,Inapplicable,Other father figure,Bio mother,Married
11,Inapplicable,With both parents,With both parents,Never married
5,6-grade-less,Other father figure,Other mother figure,Never married
3,Inapplicable,With both parents,With both parents,Married
1,Inapplicable,Other father figure,Bio mother,Never married
2,11-grade,With both parents,With both parents,Divorced/annulled
0,Inapplicable,Stepfather,Bio mother,Never married
1,Inapplicable,With both parents,With both parents,Married
998,8-grade,With both parents,With both parents,Married
15,11-grade,No father figure,Other mother figure,Married
0,Inapplicable,No father figure,Bio mother,Never married
1,Inapplicable,With both parents,With both parents,Married
1,11-grade,With both parents,With both parents,Never married
1,Inapplicable,With both parents,With both parents,Married
0,Inapplicable,With both parents,With both parents,Never married
7,10-grade,Bio father,Bio mother,Never married
1,Inapplicable,With both parents,With both parents,Married
1,Inapplicable,With both parents,With both parents,Married
0,Inapplicable,With both parents,With both parents,Never married
0,Inapplicable,With both parents,With both parents,Never married
1,Inapplicable,No father figure,Bio mother,Never married
12,Inapplicable,Stepfather,Other mother figure,Never married
20,10-grade,With both parents,With both parents,Never married
4,Inapplicable,With both parents,With both parents,Married
2,Inapplicable,With both parents,With both parents,Married
0,Inapplicable,With both parents,With both parents,Never married
2,Inapplicable,With both parents,With both parents,Married
12,Inapplicable,Stepfather,Bio mother,Never married
0,Inapplicable,With both parents,With both parents,Never married
998,Not-school,No father figure,Bio mother,Never married
9,11-grade,With both parents,With both parents,Married
2,Inapplicable,With both parents,With both parents,Never married
0,Inapplicable,With both parents,With both parents,Never married
2,Inapplicable,With both parents,With both parents,Married
3,Inapplicable,With both parents,With both parents,Married
6,Inapplicable,With both parents,With both parents,Never married
3,8-grade,Stepfather,Bio mother,Married
6,11-grade,With both parents,With both parents,Never married
0,Inapplicable,Stepfather,Bio mother,Never married
5,7-grade,With both parents,With both parents,Married
1,11-grade,With both parents,With both parents,Never married
14,9-grade,With both parents,With both parents,Never married
15,11-grade,No father figure,Bio mother,Never married
1,Inapplicable,Other father figure,Bio mother,Married
0,Inapplicable,With both parents,With both parents,Never married
12,Inapplicable,Bio father,Bio mother,Married
0,Inapplicable,Bio father,Bio mother,Never married
