Variable Label,Variable Name,Variable Type
AC-1 Hispanic/Latin origin,HISP,raw
AC-2 Hispanic/Latin origin -- group,HISPGRP,raw
AD-7b R's marital or cohabiting status,MARSTAT,raw
AD-7c R's legal marital status relative to opposite-sex spouses,LMARSTAT,raw
ADDEXP imputation flag,ADDEXP_I,imputation flag
AF-2y year high school diploma obtained,EARNHS_Y,raw
AF-3 year last attended elem/jun/high school,MYSCHOL_Y,raw
AF-4 year bachelors degree obtained,EARNBA_Y,raw
AG-0a (before age 18) R ever live away from parents/guardians?,ONOWN,raw
AG-1 R always lived w/ both biological/adoptive parents?,INTACT,raw
AG-10 R ever lived in foster care,FOSTEREV,raw
AG-11 Number of foster care settings R lived in (top-coded),MNYFSTER,raw
AG-12 Total time spent in foster care,DURFSTER,raw
AG-13 Age last left foster care,AGEFSTER,raw
AG-2 Rs biological parents married at birth?,PARMARR,raw
AG-3 female parent (figure) living with at age 14 - fam not intact thru 18,LVSIT14F,raw
AG-4 male parent (figure) living with at age 14 - fam not intact thru 18,LVSIT14M,raw
AG-5 woman R thinks of as raised her during teens,WOMRASDU,raw
AG-7 female parent (figure) worked FT/PT when R was 5-15?,MOMWORKD,raw
AG-9 man R thinks of as raised her during teens,MANRASDU,raw
Age at 2nd marriage to a man,FMAR2AGE,computed in post-processing
Age at dissolution of 1st marriage to a man (bottom-coded),AGEDISS1,recode
Age at divorce or death: 1st marriage to a man (bottom-coded),AGEDD1,recode
Age at first marriage to a man (bottom-coded),FMAR1AGE,recode
Age of mother (or mother figure) at first birth,AGEMOMB1,recode
Age when R had her first biological child,AGEBABY1,computed in post-processing
AGEDD1 imputation flag,AGEDD1_I,imputation flag
AGEDISS1 imputation flag,AGEDISS1_I,imputation flag
AGEMOMB1 imputation flag,AGEMOMB1_I,imputation flag
AH-1 R's legal marital status relative to opposite-sex spouses,MARSTATB,raw
AH-2 ever lived with male sexual partner,EVCOHABB,raw
Any contraceptive use in the 12 months prior to interview,ANYBC36,Intermediate
Any months of non-intercourse in the 36 months prior to interview,NOSEX36,Intermediate
ANYMTHD_I imputation flag,ANYMTHD_I,imputation flag
BA-1 Age at first menstrual period (bottom-coded),MENARCHE,raw
BD-1 Have any other nonbio children ever lived w/R under her care and responsibility,OTHERKID,raw
BD-10 Is R trying to adopt or become guardian for this nonbio child - 1st child,TRYEITHR_01,raw
BD-10 Is R trying to adopt or become guardian for this nonbio child - 2nd child,TRYEITHR_02,raw
BD-10 Is R trying to adopt or become guardian for this nonbio child - 3rd child,TRYEITHR_03,raw
BD-11 Was this nonbio child a foster or related child placed w/R by Soc Svcs - 1st child,NBKIDFOS_01,raw
BD-11 Was this nonbio child a foster or related child placed w/R by Soc Svcs - 2nd child,NBKIDFOS_02,raw
BD-11 Was this nonbio child a foster or related child placed w/R by Soc Svcs - 3rd child,NBKIDFOS_03,raw
BD-12 R has ever legally adopted a child,EVERADOPT,raw
BD-2 Number of other nonbio children who ever llived w/R under her care and responsibility,NOTHRKID,raw
BD-3 Number of these other nonbio children currently living with R (top-coded),NBKIDLIV,raw
BD-5 Is other nonbio child living w/R male or female - 1st child,NBKIDSEX_01,raw
BD-5 Is other nonbio child living w/R male or female - 2nd child,NBKIDSEX_02,raw
BD-5 Is other nonbio child living w/R male or female - 3rd child,NBKIDSEX_03,raw
BD-6 Relationship of other nonbio child to R when began living with R - 1st child,NBKIDREL_01,raw
BD-6 Relationship of other nonbio child to R when began living with R - 2nd child,NBKIDREL_02,raw
BD-6 Relationship of other nonbio child to R when began living with R - 3rd child,NBKIDREL_03,raw
BD-7 Age of other nonbio child when began living with R - 1st child,NBKDAGE_01,raw
BD-7 Age of other nonbio child when began living with R - 2nd child,NBKDAGE_02,raw
BD-7 Age of other nonbio child when began living with R - 3rd child,NBKDAGE_03,raw
BD-8 Did R legally adopt this nonbio child - 1st child,ADPTNBKD_01,raw
BD-8 Did R legally adopt this nonbio child - 2nd child,ADPTNBKD_02,raw
BD-8 Did R legally adopt this nonbio child - 3rd child,ADPTNBKD_03,raw
BD-9 Is R trying to adopt this nonbio child - 1st child,TRYADOPT_01,raw
BD-9 Is R trying to adopt this nonbio child - 2nd child,TRYADOPT_02,raw
BD-9 Is R trying to adopt this nonbio child - 3rd child,TRYADOPT_03,raw
BE-1 R Currently Seeking to Adopt,SEEKADPT,raw
BE-2 Has R Taken Specific Steps to Adopt,CONTAGEM,raw
BE-3 How Long R Has Been Seeking to Adopt,TRYLONG,raw
BE-4 Is R Seeking to Adopt Child She Knows,KNOWADPT,raw
BF-1 R Ever Considered Adopting a Child,EVWNTANO,raw
BF-2 R Ever Took Specific Steps to Adopt a Child,EVCONTAG,raw
BF-3 R Ever Turned Down for Adoption,TURNDOWN,raw
BF-4 Reason R Quit Trying to Adopt,YQUITTRY,raw
BF-5 R has heard of frozen embryo donation or adoption,HRDEMBRYO,raw
BF-6 Where R heard about embryo adoption or donation - 1st mention,SRCEMBRYO_1,raw
BF-6 Where R heard about embryo adoption or donation - 2nd mention,SRCEMBRYO_2,raw
BF-6 Where R heard about embryo adoption or donation - 3rd mention,SRCEMBRYO_3,raw
BF-6 Where R heard about embryo adoption or donation - 4th mention,SRCEMBRYO_4,raw
BF-6 Where R heard about embryo adoption or donation - 5th mention,SRCEMBRYO_5,raw
"Body Mass Index (BMI, in categorical form)",BMICAT,computed in post-processing
CA_14 Have children together - current wife/female cohabiting partner,SSKIDTOG,raw
